id,subject,title,description,session_date,duration,group_size,creator_fk,location
390,"PSYCH 131","Finals Preparation","Career guidance and advice","2024-07-29 20:35:00",90,3,102,"STC 2753"
391,"PSCI 370","Practical Session","In-depth review of subject material","2024-08-05 04:50:00",30,4,103,"CPH 3619"
392,"ECE 326","Project Brainstorming","Clarifying difficult concepts","2024-08-09 05:55:00",90,8,102,"MC 1784"
393,"ME 337","Presentation Practice","Support for academic writing tasks","2024-07-17 20:45:00",120,8,103,"STC 4134"
394,"GS 274","Content Recap","Enhancing knowledge through group discussion","2024-07-24 13:55:00",60,8,102,"PAS 2573"
395,"CHE 203","Problem-Solving Session","Workshop on academic writing skills","2024-08-13 22:55:00",30,10,103,"MC 3333"
396,"STAT 111","Presentation Practice","Workshop on effective study skills","2024-08-03 08:30:00",120,4,103,"QNC 1033"
397,"NE 199","Interactive Quiz","Mock exams and practice questions","2024-08-07 00:50:00",90,4,103,"E5 1132"
398,"MATH 363","Thesis Consultation","Detailed discussion of case studies","2024-08-07 02:10:00",90,10,103,"RCH 3638"
399,"REC 219","Test Preparation","Consultation on thesis structure and content","2024-07-06 15:35:00",30,4,103,"EIT 1647"
400,"HRM 376","Writing Workshop","In-depth review of subject material","2024-07-17 01:45:00",120,4,102,"E6 3652"
401,"BME 269","Focused Study","Practice for group presentations","2024-07-12 12:15:00",60,7,102,"E7 3968"
402,"STAT 351","Practical Session","Hands-on practical session","2024-08-06 14:55:00",60,8,103,"MC 2969"
403,"MUSIC 428","Collaborative Study","Engaging in critical reading exercises","2024-07-31 13:25:00",90,7,103,"MC 4221"
404,"SYDE 133","Review Meeting","Practice for group presentations","2024-07-20 06:40:00",90,10,102,"PAS 1670"
405,"NE 192","Presentation Practice","Planning and organizing study schedules","2024-07-11 07:15:00",30,7,102,"QNC 3162"
406,"STAT 112","Group Learning Session","Workshop on developing new skills","2024-07-23 13:35:00",30,4,102,"PAS 1126"
407,"PSYCH 256","Study Group Session","Workshop on effective study skills","2024-08-08 01:55:00",30,8,103,"E7 1253"
408,"BME 291","Academic Support","Discussing key topics for the upcoming exam","2024-07-12 08:35:00",60,2,102,"EV3 1608"
409,"BIOL 112","Problem-Solving Session","Interactive learning activities","2024-07-11 20:15:00",120,8,102,"EIT 1985"
410,"CIVE 259","Concept Discussion","Focused study on specific topics","2024-07-22 03:15:00",90,10,103,"STC 1413"
411,"HIST 320","Thesis Consultation","Planning and organizing study schedules","2024-07-16 14:45:00",30,10,103,"E6 2313"
412,"SE 109","Academic Support","Solving practice problems together","2024-07-08 02:05:00",90,8,103,"EV1 4151"
413,"SUSM 155","Case Study Discussion","General study session covering a range of subjects","2024-07-10 15:30:00",120,10,102,"E7 1022"
414,"HRM 405","Career Development Session","Group study session to prepare for quizzes","2024-07-28 19:25:00",90,5,103,"EV2 1078"
415,"GEOG 324","Collaborative Study","Open group discussion on course material","2024-08-05 16:30:00",90,5,102,"EIT 3432"
416,"CIVE 402","Mock Exam Session","Open forum for discussing ideas","2024-07-09 02:45:00",30,10,102,"E6 3456"
417,"ME 347","Topic Review","Mock exams and practice questions","2024-07-25 15:25:00",60,4,102,"MC 1307"
418,"PHYS 345","Finals Preparation","Detailed discussion of case studies","2024-08-15 07:30:00",60,8,102,"HH 1619"
419,"HIST 387","Subject Review","Solving practice problems together","2024-08-09 21:10:00",90,4,103,"AL 2371"
420,"SYDE 305","General Study Session","Open forum for discussing ideas","2024-08-15 16:15:00",30,6,102,"PAS 2337"
421,"CS 190","Interactive Workshop","Focused review session for important topics","2024-07-12 16:50:00",120,6,103,"EV3 1229"
422,"ECE 143","Problem-Solving Session","Interactive workshop on a key topic","2024-07-24 14:35:00",120,10,102,"E2 2937"
423,"CHE 331","Reading Group","Reviewing recent assignments and providing help","2024-07-01 23:25:00",60,3,103,"DC 2740"
424,"ENV 224","Group Discussion","Workshop on academic writing skills","2024-08-15 04:25:00",90,4,103,"RCH 1552"
425,"REC 285","Focused Review Session","Detailed discussion of case studies","2024-07-31 18:15:00",60,8,103,"EIT 4186"
426,"ECE 381","Discussion on Current Topics","Career guidance and advice","2024-07-02 09:05:00",60,7,102,"BMH 2340"
427,"ARTS 265","Subject Review","Overview of important topics","2024-08-01 21:10:00",120,6,103,"E1 4118"
428,"REC 398","Reading Group","Enhancing knowledge through group discussion","2024-07-26 18:10:00",120,7,102,"BMH 2534"
429,"SUSM 365","Research Guidance","Group study session to prepare for quizzes","2024-07-08 18:30:00",120,4,102,"STC 3632"
430,"GEOG 144","Topic Review","Interactive quiz to test knowledge","2024-07-24 12:20:00",60,10,103,"ML 2434"
431,"ME 153","Quiz Practice Session","Detailed discussion of case studies","2024-07-20 07:55:00",60,3,103,"E7 3538"
432,"BIOL 322","Seminar Follow-Up","Problem-solving techniques and strategies","2024-08-02 22:55:00",120,10,102,"DC 2084"
433,"REC 164","Test Preparation","Exploring new topics in-depth","2024-07-13 09:50:00",90,8,103,"E7 3977"
434,"ENV 149","Academic Support","Recap of course content","2024-07-25 07:50:00",30,9,102,"BMH 2455"
435,"AFM 354","Career Development Session","Recap of course content","2024-07-23 18:45:00",30,6,103,"EV3 2081"
436,"CIVE 336","Learning Strategies","Interactive discussion of seminar content","2024-08-07 06:20:00",30,10,103,"E1 1241"
437,"CS 157","Lab Report Assistance","Interactive quiz to test knowledge","2024-07-28 16:00:00",90,10,102,"E3 1205"
438,"HRM 431","Knowledge Enhancement","Career guidance and advice","2024-07-16 02:30:00",120,3,103,"HH 2552"
439,"MATH 187","Collaborative Study","Overview of important topics","2024-07-21 22:55:00",120,4,103,"OPT 4443"
440,"CIVE 382","Lab Report Assistance","Interactive discussion of seminar content","2024-07-22 00:20:00",120,9,102,"EIT 1599"
441,"ARTS 271","Discussion Forum","Mock exams and practice questions","2024-07-21 20:35:00",30,4,102,"OPT 3279"
442,"ARTS 187","Interactive Workshop","Hands-on practical session","2024-08-08 00:25:00",30,6,103,"RCH 3652"
443,"CIVE 109","Focused Review Session","Preparation for upcoming tests","2024-08-08 13:25:00",120,6,103,"DC 2696"
444,"SOC 289","Concept Discussion","Exploring new topics in-depth","2024-08-13 04:35:00",90,3,102,"MC 2013"
445,"SE 344","Writing Workshop","Strategies for effective learning","2024-08-07 15:45:00",60,10,102,"E5 3012"
446,"CS 203","Discussion on Current Topics","Open forum for discussing ideas","2024-07-27 09:40:00",120,9,102,"E6 2049"
447,"ARTS 397","Interactive Quiz","Solving practice problems together","2024-07-22 02:10:00",120,5,102,"MC 1893"
448,"ECE 289","Assignment Help","Practice for group presentations","2024-08-05 16:05:00",30,8,103,"BMH 1683"
449,"GEOG 190","Discussion on Current Topics","Interactive quiz to test knowledge","2024-08-04 18:45:00",120,3,103,"E3 3082"
450,"NE 164","Thesis Consultation","Exploring new topics in-depth","2024-07-22 07:00:00",120,3,102,"EV2 1659"
451,"MATH 248","Peer Support","Workshop on effective study skills","2024-07-05 23:20:00",30,2,103,"E6 1070"
452,"SOC 120","Topic Exploration","Hands-on practical session","2024-07-10 06:55:00",90,4,103,"E7 3071"
453,"PHYS 124","Quiz Preparation","Exploring new topics in-depth","2024-07-26 00:05:00",60,3,103,"HH 2089"
454,"CIVE 338","Content Recap","Review and feedback on assignments","2024-07-05 23:25:00",120,9,102,"EV2 2479"
455,"LS 118","Interactive Learning","Clarifying difficult concepts","2024-08-01 20:30:00",90,10,103,"E3 2130"
456,"SYDE 296","Skill Development Workshop","Discussion on the latest trends in the field","2024-07-26 10:15:00",120,7,102,"OPT 2792"
457,"PSYCH 238","Focused Review Session","Collaborative learning and peer support","2024-07-23 16:20:00",120,4,102,"BMH 4083"
458,"KIN 423","Assignment Help","Session to enhance knowledge and skills","2024-07-12 13:35:00",30,10,103,"OPT 2606"
459,"CHE 148","Learning Strategies","Overview of important topics","2024-07-29 14:40:00",90,9,102,"CPH 4496"
460,"ME 283","Practical Session","General study session covering a range of subjects","2024-07-08 16:35:00",90,7,102,"E7 1678"
461,"GS 136","Research Guidance","Discussing key topics for the upcoming exam","2024-07-25 13:45:00",120,6,102,"E3 1832"
462,"BIOL 378","Problem-Solving Session","Reviewing recent assignments and providing help","2024-07-01 12:00:00",30,3,102,"E2 1805"
463,"SE 351","Knowledge Sharing","Clarifying difficult concepts","2024-08-03 12:15:00",60,7,102,"E6 2279"
464,"BIOL 415","Peer Support","Open forum for discussing ideas","2024-08-15 21:15:00",90,10,103,"OPT 2930"
465,"SOC 315","Research Guidance","Focused review session for important topics","2024-07-25 07:40:00",60,8,103,"PAS 2216"
466,"ME 331","Study Skills Workshop","Engaging in critical reading exercises","2024-07-14 08:55:00",60,3,103,"E2 1007"
467,"SOC 155","Writing Workshop","Review and feedback on assignments","2024-07-30 19:35:00",90,6,102,"EV2 1737"
468,"HRM 275","Test Preparation","Recap of course content","2024-08-15 21:55:00",30,6,103,"E7 4194"
469,"STAT 157","Interactive Study Group","Overview of important topics","2024-08-14 09:25:00",30,4,102,"EIT 4476"
470,"PSYCH 361","Writing Workshop","Open forum for discussing ideas","2024-07-12 07:50:00",90,4,103,"AL 4111"
471,"GS 394","Peer Review Session","Focused study on specific topics","2024-07-05 01:35:00",90,2,103,"EV1 2488"
472,"SE 131","Mock Exam Session","Clarifying difficult concepts","2024-08-10 23:05:00",90,9,103,"EV1 3380"
473,"ENV 158","Topic Deep Dive","Guidance on research methodology","2024-07-06 17:10:00",30,5,102,"DC 3348"
474,"PSYCH 275","Peer Review Session","Recap of course content","2024-08-12 15:00:00",90,8,103,"STC 2255"
475,"SPAN 334","Reading Session","Focused review session for important topics","2024-08-06 03:15:00",120,8,103,"STC 3897"
476,"SE 238","Reading Session","Review and feedback on assignments","2024-07-24 11:15:00",30,5,103,"E7 4042"
477,"PSCI 382","Online Resource Session","Practice for group presentations","2024-07-10 19:20:00",30,9,102,"E3 3376"
478,"REC 327","General Study Session","Open group discussion on course material","2024-07-31 12:00:00",120,6,102,"MC 4274"
479,"AFM 302","Project Brainstorming","Detailed discussion of case studies","2024-07-18 16:10:00",60,8,102,"HH 2278"
480,"ECE 119","Study Planning","Exploring new topics in-depth","2024-07-21 12:35:00",60,4,103,"E6 3302"
481,"REC 422","Finals Preparation","Interactive discussion of seminar content","2024-07-04 10:30:00",120,4,102,"ML 3895"
482,"SE 165","Peer Review Session","Interactive discussion of seminar content","2024-07-18 13:40:00",90,3,103,"MC 1983"
483,"SOC 112","Study Skills Workshop","Focused review session for important topics","2024-08-01 02:35:00",120,3,103,"MC 2376"
484,"BME 309","Peer Support","Assistance with writing lab reports","2024-08-14 21:40:00",90,10,102,"STC 2498"
485,"ECE 224","Mock Exam Session","Interactive learning activities","2024-07-24 17:05:00",30,3,102,"E7 4034"
486,"REC 102","Discussion on Current Topics","General study session covering a range of subjects","2024-08-08 17:10:00",90,10,102,"EIT 3212"
487,"BME 366","Career Development Session","Workshop on academic writing skills","2024-07-21 10:15:00",120,8,102,"PAS 1041"
488,"PHARM 100","Concept Discussion","Discussing key topics for the upcoming exam","2024-07-25 06:30:00",30,8,103,"EV1 3870"
489,"CS 196","Research Guidance","Focused study on specific topics","2024-08-15 19:55:00",90,4,102,"EV2 3712"
490,"NE 131","Seminar Follow-Up","Effective strategies for final exams","2024-07-14 18:50:00",60,5,103,"E3 2020"
491,"STAT 344","Problem-Solving Session","Career guidance and advice","2024-08-01 23:55:00",120,9,103,"RCH 3019"
492,"HRM 187","Reading Session","Preparation for upcoming tests","2024-08-11 14:35:00",90,3,102,"CPH 2250"
493,"REC 139","Project Brainstorming","Strategies for effective learning","2024-08-03 23:20:00",60,2,102,"DC 1640"
494,"PHARM 404","Interactive Study Group","Enhancing knowledge through group discussion","2024-08-03 03:45:00",90,9,103,"EV3 1334"
495,"LS 222","Skill Development Workshop","Collaborating on project ideas","2024-08-03 01:35:00",60,7,102,"ML 1785"
496,"KIN 114","Topic Deep Dive","Strategies for effective learning","2024-07-27 21:50:00",90,4,102,"OPT 3546"
497,"REC 140","Peer Support","Practical demonstrations of key concepts","2024-08-07 20:25:00",60,3,103,"EIT 1076"
498,"REC 365","Writing Workshop","Strategies for effective learning","2024-07-06 15:05:00",90,7,102,"EV3 4323"
499,"BME 323","Study Skills Workshop","Workshop on academic writing skills","2024-07-10 01:10:00",60,9,102,"AL 4133"
500,"AFM 381","Reading Group","Assistance with writing lab reports","2024-08-03 22:50:00",120,8,103,"E2 1608"
501,"BME 260","Review Meeting","Guidance on research methodology","2024-08-09 18:45:00",90,7,102,"E7 3375"
502,"SPAN 128","Knowledge Enhancement","Interactive learning activities","2024-07-27 22:00:00",60,7,102,"E6 2226"
503,"CS 421","Assignment Help","Planning and organizing study schedules","2024-08-06 09:55:00",90,5,102,"E5 4079"
504,"NE 337","Interactive Workshop","Support for academic writing tasks","2024-07-06 06:05:00",30,2,103,"E6 2851"
505,"PSCI 439","Interactive Quiz","Planning and organizing study schedules","2024-07-13 00:25:00",90,2,102,"RCH 2472"
506,"GS 251","Presentation Practice","Providing academic support and guidance","2024-07-23 06:30:00",120,8,103,"E7 2591"
507,"LS 317","Thesis Consultation","Support for academic writing tasks","2024-07-18 20:00:00",30,7,103,"STC 4009"
508,"PSCI 102","Topic Review","Planning and organizing study schedules","2024-07-06 20:50:00",60,3,103,"MC 2609"
509,"KIN 152","Discussion on Current Topics","Open group discussion on course material","2024-07-22 16:10:00",30,4,103,"EV1 3896"
510,"GEOG 430","Seminar Follow-Up","Interactive workshop on a key topic","2024-08-06 14:40:00",30,10,102,"E1 3055"
511,"GS 334","Problem-Solving Session","Workshop on academic writing skills","2024-07-07 06:40:00",30,8,103,"ML 1618"
512,"PHARM 299","Interactive Study Group","Career guidance and advice","2024-07-28 12:10:00",120,4,103,"EV2 4421"
513,"REC 113","Content Recap","Hands-on practical session","2024-08-07 17:20:00",120,5,102,"E5 1863"
514,"REC 441","Study Group Session","Interactive workshop on a key topic","2024-07-17 21:15:00",30,4,102,"MC 2833"
515,"SUSM 421","Discussion Forum","Session for sharing study resources","2024-07-07 07:25:00",120,6,102,"EIT 2468"
516,"STAT 212","Problem-Solving Session","Engaging in critical reading exercises","2024-07-26 01:50:00",90,5,102,"RCH 1196"
517,"HIST 290","Group Discussion","Mock exams and practice questions","2024-07-23 21:10:00",30,9,103,"EV2 1166"
518,"SE 268","Focused Study","Open forum for discussing ideas","2024-07-26 01:05:00",90,8,103,"E3 4052"
519,"MUSIC 218","Interactive Learning","Interactive quiz to test knowledge","2024-08-15 01:50:00",30,6,103,"E1 3555"
520,"LS 341","Reading Session","Workshop on developing new skills","2024-07-11 14:30:00",60,7,103,"E5 2350"
521,"SYDE 191","Test Preparation","Interactive learning activities","2024-07-16 05:40:00",60,8,102,"BMH 3260"
522,"HRM 149","Skill Development Workshop","Collaborative learning and peer support","2024-07-02 02:20:00",90,8,103,"DC 4036"
523,"REC 391","Presentation Practice","Enhancing knowledge through group discussion","2024-08-10 12:25:00",90,9,102,"EV2 1876"
524,"REC 267","Discussion Forum","Open group discussion on course material","2024-07-16 15:25:00",60,3,102,"AL 2291"
525,"MATH 360","Mock Exam Session","Engaging in critical reading exercises","2024-08-14 00:40:00",30,7,103,"SLC 2715"
526,"MATH 242","Practical Session","Effective strategies for final exams","2024-07-26 06:05:00",120,9,102,"PAS 1769"
527,"PHYS 222","Career Advice Session","Planning and organizing study schedules","2024-08-09 23:55:00",120,5,102,"RCH 2670"
528,"MATH 439","Study Group Session","Collaborative learning and peer support","2024-08-12 13:10:00",90,2,103,"E3 2372"
529,"PHYS 396","Group Learning Session","Interactive discussion of seminar content","2024-07-11 00:00:00",30,3,103,"RCH 4264"
530,"SOC 215","Practical Demonstration","Solving practice problems together","2024-07-27 06:40:00",60,3,103,"HH 3600"
531,"SOC 135","Thesis Consultation","Practice for group presentations","2024-07-28 13:45:00",90,5,102,"E2 4175"
532,"ARTS 386","Test Preparation","Clarifying difficult concepts","2024-08-04 08:00:00",30,5,103,"EV3 1805"
533,"GS 161","Discussion on Trends","Collaborative learning and peer support","2024-07-30 06:35:00",30,6,103,"E1 3368"
534,"NE 227","Writing Workshop","Hands-on practical session","2024-08-07 03:05:00",60,6,102,"RCH 2586"
535,"CS 214","Case Study Discussion","Detailed discussion of case studies","2024-07-11 19:20:00",120,7,103,"RCH 1859"
536,"SOC 261","Quiz Practice Session","Deep dive into specific topics","2024-07-06 08:50:00",90,8,102,"EV1 2577"
537,"PHYS 217","Problem-Solving Session","Strategies for effective learning","2024-07-29 15:40:00",90,8,103,"E3 1238"
538,"PSYCH 399","Problem-Solving Session","Detailed discussion of case studies","2024-08-06 21:45:00",120,7,102,"E2 1924"
539,"ENV 205","Topic Deep Dive","In-depth review of subject material","2024-07-28 01:55:00",90,9,103,"E1 2958"
540,"GEOG 236","Quiz Practice Session","Discussion on the latest trends in the field","2024-07-07 14:00:00",90,3,102,"E3 2430"
541,"HRM 199","Topic Exploration","Engaging in critical reading exercises","2024-07-27 13:05:00",60,9,102,"EV1 3583"
542,"MUSIC 428","Topic Exploration","Assistance with writing lab reports","2024-08-07 04:00:00",30,6,103,"OPT 3310"
543,"REC 179","Concept Clarification Session","Workshop on developing new skills","2024-07-11 13:20:00",30,8,102,"AL 3123"
544,"SUSM 138","Focused Review Session","Discussing key topics for the upcoming exam","2024-08-04 14:25:00",120,5,103,"EV2 3646"
545,"SYDE 388","Study Group Session","Practical demonstrations of key concepts","2024-07-04 13:50:00",60,5,102,"EV3 1560"
546,"ARTS 151","Seminar Follow-Up","Open group discussion on course material","2024-08-02 03:45:00",90,5,102,"EV3 2819"
547,"REC 118","Collaborative Study","Session to enhance knowledge and skills","2024-07-26 00:35:00",30,2,103,"EV3 2333"
548,"CIVE 147","Online Resource Session","Reviewing recent assignments and providing help","2024-08-05 14:00:00",90,2,102,"E3 4124"
549,"REC 419","Interactive Quiz","Collaborating on project ideas","2024-07-26 22:10:00",120,4,103,"E2 1969"
550,"SOC 205","Study Skills Workshop","Interactive workshop on a key topic","2024-08-01 10:55:00",120,4,103,"EV3 4248"
551,"MUSIC 200","Presentation Practice","Reviewing recent assignments and providing help","2024-07-02 11:05:00",30,6,102,"E3 3774"
552,"MATH 411","Topic Deep Dive","Interactive quiz to test knowledge","2024-07-24 04:40:00",60,9,103,"QNC 3503"
553,"ENV 105","Writing Workshop","Sharing of useful online resources","2024-07-15 17:05:00",120,9,102,"E6 2978"
554,"REC 227","Presentation Practice","Discussing key topics for the upcoming exam","2024-07-24 09:15:00",120,5,103,"EIT 1472"
555,"STAT 158","Practical Demonstration","Clarifying difficult concepts","2024-08-13 20:00:00",90,10,103,"E1 3822"
556,"ME 117","Writing Workshop","Open forum for discussing ideas","2024-07-15 10:25:00",60,2,102,"OPT 1828"
557,"PHYS 259","Interactive Workshop","Guidance on research methodology","2024-07-27 19:25:00",60,2,103,"HH 3338"
558,"KIN 325","Review Meeting","Professional development tips","2024-07-23 22:35:00",90,7,102,"BMH 3078"
559,"KIN 299","Thesis Consultation","Planning and organizing study schedules","2024-07-29 17:05:00",60,9,102,"E7 1730"
560,"PSCI 402","Interactive Study Group","Collaborating on project ideas","2024-07-11 16:50:00",90,2,102,"PAS 3099"
561,"SPAN 413","Study Skills Workshop","Solving practice problems together","2024-07-05 18:10:00",30,7,102,"E1 2207"
562,"ECE 374","Lab Report Assistance","Session for sharing study resources","2024-07-31 07:55:00",30,9,103,"E6 3148"
563,"PHARM 399","Study Group Session","Focused review session for important topics","2024-07-23 05:15:00",30,10,102,"SLC 1624"
564,"SYDE 366","Problem-Solving Session","Review and feedback on assignments","2024-07-07 10:55:00",60,3,102,"MC 3170"
565,"GS 215","Writing Workshop","Practical demonstrations of key concepts","2024-08-05 00:50:00",120,4,103,"E1 3174"
566,"MATH 231","Reading Session","In-depth review of subject material","2024-07-12 12:20:00",30,4,102,"E6 2818"
567,"REC 169","Study Planning","Discussing key topics for the upcoming exam","2024-08-12 02:55:00",120,6,103,"EV3 3842"
568,"LS 438","Peer Support","Interactive workshop on a key topic","2024-08-12 01:10:00",120,3,103,"E7 4444"
569,"HIST 283","Online Resource Session","Mock exams and practice questions","2024-07-02 08:05:00",120,7,102,"EIT 2975"
570,"BIOL 236","Problem-Solving Session","Deep dive into specific topics","2024-08-09 18:40:00",30,8,102,"EV3 2515"
571,"MUSIC 422","Concept Discussion","Support for academic writing tasks","2024-08-02 06:35:00",90,4,103,"PAS 3740"
572,"REC 299","Review Meeting","Mock exams and practice questions","2024-07-08 13:35:00",120,2,102,"EV3 3397"
573,"SYDE 217","Thesis Consultation","Session for sharing study resources","2024-08-14 17:10:00",120,5,102,"CPH 2651"
574,"CIVE 411","Interactive Study Group","Talking about recent developments in the subject","2024-07-08 10:05:00",120,4,103,"QNC 1169"
575,"REC 225","Thesis Consultation","Engaging in critical reading exercises","2024-07-29 03:35:00",30,9,103,"QNC 1940"
576,"ECE 132","Group Discussion","In-depth review of subject material","2024-07-24 00:55:00",90,9,102,"SLC 3400"
577,"PHARM 397","Review Meeting","Focused review session for important topics","2024-07-07 23:25:00",120,7,102,"EV3 1356"
578,"PSYCH 157","Quiz Preparation","Workshop on effective study skills","2024-07-13 09:35:00",30,2,102,"RCH 4171"
579,"BIOL 262","Academic Support","Interactive workshop on a key topic","2024-07-29 21:00:00",60,3,102,"OPT 4367"
580,"LS 408","Topic Exploration","Interactive workshop on a key topic","2024-07-20 05:30:00",120,9,102,"E5 2848"
581,"ECE 377","Assignment Help","Professional development tips","2024-07-23 23:05:00",90,7,102,"RCH 1500"
582,"CS 419","Knowledge Enhancement","Recap of course content","2024-07-23 13:15:00",30,9,102,"E5 2604"
583,"BIOL 256","Lab Report Assistance","Interactive discussion of seminar content","2024-08-08 22:55:00",90,6,102,"E1 2874"
584,"LS 190","Practical Session","Focused review session for important topics","2024-07-01 20:20:00",60,8,102,"E6 3031"
586,"BME 287","Case Study Discussion","Practice for group presentations","2024-08-13 06:15:00",90,4,103,"E5 2425"
588,"CS 240","Randomized Algorithms Review","Proving randomized run times.","2024-07-15 06:05:00",60,5,102,"MC 4042"
589,"MATH 239","Graph Theory Review","Diving into topics such as isomorphism.","2024-07-10 09:30:00",90,7,103,"STC 0050"
