subject,title,description,session_date,duration,group_size,creator_fk,location
GENE395,"Exam Preparation","We'll go over important topics and answer any questions you may have.","2024-06-11 22:10:00",45,5,54,EV31422
SOC202,"Group Study","Improve your problem-solving skills with this focused session.","2024-07-02 16:40:00",120,9,45,DC2468
CLAS242,"Problem Solving Session","Get help with your homework and assignments in this session.","2024-07-06 00:35:00",60,6,64,E61402
ENGL104,"Lab Review","This study session will help reinforce your understanding of the lectures.","2024-06-30 15:30:00",120,6,141,SLC4255
CS452,"Course Overview","We'll go over important topics and answer any questions you may have.","2024-05-25 01:50:00",60,7,28,E32169
PHIL451J,"Lab Review","This session will help you stay on top of the course content.","2024-05-07 11:55:00",15,6,157,E24230
INDEV302,"Exam Preparation","This study session will help reinforce your understanding of the lectures.","2024-08-03 14:25:00",90,9,67,E34214
ME571,"Final Exam Study Session","Improve your problem-solving skills with this focused session.","2024-07-03 03:15:00",120,9,23,E21136
PACS328,"Lecture Recap","Get help with your homework and assignments in this session.","2024-06-09 05:00:00",120,7,176,E51275
PHARM472,"Group Study","This study session will help reinforce your understanding of the lectures.","2024-08-04 03:15:00",15,3,121,E71695
PHYS375,"Lecture Recap","Improve your problem-solving skills with this focused session.","2024-06-07 18:30:00",15,10,182,CPH4360
PLAN351,"Group Study","Prepare for the midterm/final with this detailed review session.","2024-05-14 08:05:00",60,2,121,RCH1915
ENVS200,"Lecture Recap","We'll go over important topics and answer any questions you may have.","2024-07-06 23:00:00",60,5,45,E54252
ENGL100B,"Exam Preparation","Improve your problem-solving skills with this focused session.","2024-08-05 09:30:00",90,2,95,HH2994
GENE23Q,"Review Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-08-10 15:15:00",120,7,200,CPH3024
SI242R,"Final Exam Study Session","We'll work through lab exercises and discuss key points.","2024-07-13 22:10:00",60,4,60,EV33060
JS209,"Exam Preparation","Join your peers for a group study session.","2024-08-11 16:40:00",15,3,75,PAS3146
SOC210,"Final Exam Study Session","Improve your problem-solving skills with this focused session.","2024-05-17 06:45:00",15,9,195,EV11017
HIST207,"Lecture Recap","This session will cover key concepts and prepare you for the upcoming exams.","2024-05-04 12:20:00",45,3,179,E11099
PHIL482,"Lab Review","We'll go over important topics and answer any questions you may have.","2024-05-22 13:30:00",30,2,116,EIT2218
SDS311R,"Midterm Review","This study session will help reinforce your understanding of the lectures.","2024-08-04 17:00:00",120,7,122,EV31685
PHARM462,"Lecture Recap","Improve your problem-solving skills with this focused session.","2024-06-02 11:30:00",60,4,123,OPT1160
ECON456,"Homework Help","We'll work through lab exercises and discuss key points.","2024-07-12 12:10:00",45,5,23,OPT3594
SMF213,"Group Study","Join your peers for a group study session.","2024-05-13 09:20:00",120,3,184,EIT2593
LS461,"Problem Solving Session","Join your peers for a group study session.","2024-06-14 23:10:00",15,6,196,EV31947
MSE211,"Course Overview","We'll work through lab exercises and discuss key points.","2024-07-31 18:05:00",15,1,88,E64026
GEOG414,"Homework Help","Prepare for the midterm/final with this detailed review session.","2024-05-26 09:35:00",30,4,152,CPH1173
ASL101R,"Problem Solving Session","Join us for a comprehensive review of the course material.","2024-06-18 13:20:00",90,2,12,EIT3190
PHARM476,"Group Study","This session will help you stay on top of the course content.","2024-06-09 23:45:00",15,8,27,EV22019
CO471,"Problem Solving Session","This study session will help reinforce your understanding of the lectures.","2024-07-25 11:50:00",15,2,168,E63113
KIN492,"Exam Preparation","Join your peers for a group study session.","2024-05-27 03:15:00",45,5,180,DC1102
HUMSC102,"Final Exam Study Session","Join your peers for a group study session.","2024-07-02 02:05:00",15,6,134,OPT1529
ITAL396,"Problem Solving Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-07-24 07:50:00",15,9,128,AL3557
SCI396,"Lab Review","This session will help you stay on top of the course content.","2024-06-30 05:00:00",90,5,76,OPT1281
CIVE491,"Group Study","We'll go over important topics and answer any questions you may have.","2024-07-27 20:10:00",30,2,136,BMH1063
AMATH362,"Midterm Review","We'll go over important topics and answer any questions you may have.","2024-07-20 23:35:00",120,6,80,RCH1961
MUSIC217,"Lab Review","This session will cover key concepts and prepare you for the upcoming exams.","2024-07-23 01:55:00",60,6,181,OPT1041
ENVE499,"Midterm Review","This study session will help reinforce your understanding of the lectures.","2024-05-29 02:40:00",45,1,96,EV33286
KIN453,"Review Session","Join us for a comprehensive review of the course material.","2024-05-28 12:40:00",120,1,113,SLC4006
ME562,"Midterm Review","Improve your problem-solving skills with this focused session.","2024-06-24 19:25:00",45,3,113,SLC3285
ME562,"Group Study","This session will help you stay on top of the course content.","2024-06-05 23:45:00",90,4,111,ML3973
PACS399,"Problem Solving Session","Join your peers for a group study session.","2024-06-14 04:10:00",45,5,43,CPH3264
ME563,"Lab Review","We'll work through lab exercises and discuss key points.","2024-06-03 23:50:00",60,6,27,QNC1047
AFM448,"Review Session","This session will help you stay on top of the course content.","2024-06-25 11:15:00",120,5,58,EV11695
PSCI301,"Midterm Review","Join your peers for a group study session.","2024-07-27 09:20:00",45,8,18,RCH1150
PDPHRM2,"Exam Preparation","Join your peers for a group study session.","2024-08-12 19:15:00",90,3,152,ML3658
PHARM465,"Final Exam Study Session","Join your peers for a group study session.","2024-07-20 10:10:00",60,6,46,E53345
MUSIC116,"Midterm Review","Get help with your homework and assignments in this session.","2024-07-13 10:35:00",45,8,2,E32160
PORT102,"Lecture Recap","Join your peers for a group study session.","2024-06-29 02:20:00",15,6,96,E73957
PHIL315,"Problem Solving Session","This study session will help reinforce your understanding of the lectures.","2024-08-10 06:55:00",60,9,190,QNC2862
PMATH347,"Review Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-08-07 08:30:00",30,4,174,E51681
SCI200,"Course Overview","Prepare for the midterm/final with this detailed review session.","2024-06-26 01:00:00",15,7,4,E22363
PHYS363,"Homework Help","This study session will help reinforce your understanding of the lectures.","2024-08-15 03:40:00",90,6,170,OPT4169
MATH138,"Course Overview","Improve your problem-solving skills with this focused session.","2024-07-23 04:15:00",30,1,198,EIT4480
CS105,"Final Exam Study Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-05-29 18:15:00",30,4,127,MC2567
PHIL200J,"Midterm Review","Prepare for the midterm/final with this detailed review session.","2024-05-21 17:30:00",15,4,4,E14267
EMLS104R,"Lecture Recap","We'll go over important topics and answer any questions you may have.","2024-08-13 14:35:00",15,3,134,RCH1191
HIST230,"Homework Help","Get help with your homework and assignments in this session.","2024-05-06 19:20:00",45,8,152,QNC3117
ECE475,"Lab Review","We'll go over important topics and answer any questions you may have.","2024-07-20 09:30:00",60,3,137,CPH3302
PDARCH3,"Problem Solving Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-08-15 11:15:00",120,7,109,DC2486
AFM445,"Lecture Recap","We'll work through lab exercises and discuss key points.","2024-05-10 01:35:00",120,8,53,RCH2514
PSYCH307,"Lab Review","Join your peers for a group study session.","2024-05-12 19:20:00",60,2,48,E22575
PSYCH393,"Lecture Recap","Get help with your homework and assignments in this session.","2024-08-04 08:50:00",120,3,133,QNC1658
SDS311R,"Lab Review","This study session will help reinforce your understanding of the lectures.","2024-06-18 02:20:00",30,4,61,E22604
PSYCH399R,"Midterm Review","This session will help you stay on top of the course content.","2024-06-22 13:40:00",30,6,114,CPH1929
INDEV402,"Exam Preparation","Improve your problem-solving skills with this focused session.","2024-05-27 03:45:00",90,7,59,E21408
NE318,"Problem Solving Session","We'll work through lab exercises and discuss key points.","2024-05-14 13:05:00",60,10,25,EIT2780
PSYCH463,"Course Overview","Get help with your homework and assignments in this session.","2024-07-25 10:30:00",30,7,115,CPH3354
CHEM120,"Review Session","Prepare for the midterm/final with this detailed review session.","2024-07-06 05:30:00",120,8,112,E21805
GBDA465,"Exam Preparation","This session will help you stay on top of the course content.","2024-05-24 18:05:00",15,3,77,EIT3285
BUS362W,"Lecture Recap","Prepare for the midterm/final with this detailed review session.","2024-06-05 09:35:00",120,2,126,EV12418
RS220,"Exam Preparation","Join your peers for a group study session.","2024-07-30 11:40:00",30,1,43,MC2013
BUS452W,"Problem Solving Session","Join us for a comprehensive review of the course material.","2024-07-07 07:25:00",30,6,109,MC4156
ENGL460D,"Group Study","This session will cover key concepts and prepare you for the upcoming exams.","2024-05-14 14:50:00",60,4,80,E21828
PMATH445,"Lecture Recap","This session will cover key concepts and prepare you for the upcoming exams.","2024-08-05 05:10:00",120,8,40,AL2049
MSE434,"Final Exam Study Session","Join us for a comprehensive review of the course material.","2024-08-10 12:35:00",120,6,56,E61587
HRTS101,"Lecture Recap","This study session will help reinforce your understanding of the lectures.","2024-07-15 04:45:00",45,1,145,EIT3274
FR151,"Problem Solving Session","This session will help you stay on top of the course content.","2024-07-27 15:35:00",15,4,24,EV31082
ERS375,"Homework Help","Improve your problem-solving skills with this focused session.","2024-06-19 07:25:00",45,8,11,HH2372
ITALST120,"Homework Help","We'll go over important topics and answer any questions you may have.","2024-05-21 06:55:00",30,9,151,E63990
BIOL434,"Group Study","This study session will help reinforce your understanding of the lectures.","2024-06-15 13:40:00",15,9,198,QNC2835
ENGL119,"Midterm Review","Join your peers for a group study session.","2024-06-25 19:50:00",60,3,140,E12999
OPTOM367,"Homework Help","We'll go over important topics and answer any questions you may have.","2024-05-05 11:40:00",15,4,172,E73982
OPTOM375,"Exam Preparation","We'll work through lab exercises and discuss key points.","2024-05-18 04:25:00",15,5,102,EV23409
COMMST432,"Midterm Review","This study session will help reinforce your understanding of the lectures.","2024-08-12 21:45:00",60,10,192,OPT2865
ECON424,"Homework Help","This session will cover key concepts and prepare you for the upcoming exams.","2024-06-28 21:25:00",90,8,37,AL2357
STAT230,"Homework Help","Get help with your homework and assignments in this session.","2024-07-25 05:05:00",120,7,133,E31259
KIN340,"Problem Solving Session","Get help with your homework and assignments in this session.","2024-05-16 17:40:00",30,10,140,STC2620
PSYCH389,"Problem Solving Session","We'll go over important topics and answer any questions you may have.","2024-07-02 20:30:00",15,10,165,AL4366
SOC223R,"Final Exam Study Session","This study session will help reinforce your understanding of the lectures.","2024-06-27 04:35:00",30,4,32,DC4037
SWREN424R,"Lab Review","We'll work through lab exercises and discuss key points.","2024-06-08 23:40:00",30,2,1,PAS3798
CHE574,"Problem Solving Session","This session will help you stay on top of the course content.","2024-06-09 14:20:00",45,9,114,CPH2528
SOC305,"Course Overview","Get help with your homework and assignments in this session.","2024-05-24 17:05:00",120,1,141,SLC1806
MUSIC381,"Midterm Review","We'll work through lab exercises and discuss key points.","2024-07-11 07:35:00",60,6,95,HH1990
ERS221,"Course Overview","We'll work through lab exercises and discuss key points.","2024-05-23 06:05:00",60,6,33,PAS2889
ARBUS102,"Midterm Review","This study session will help reinforce your understanding of the lectures.","2024-07-02 19:35:00",120,10,9,OPT1307
ENGL315,"Final Exam Study Session","This session will help you stay on top of the course content.","2024-05-12 23:15:00",15,7,37,STC1036
ARTS280,"Lecture Recap","Prepare for the midterm/final with this detailed review session.","2024-06-01 11:25:00",90,7,79,E71868
RS218,"Exam Preparation","This study session will help reinforce your understanding of the lectures.","2024-07-25 07:00:00",90,1,118,CPH1091
CHEM495,"Exam Preparation","This session will help you stay on top of the course content.","2024-07-27 19:20:00",15,3,159,EIT1109
CS490,"Lab Review","This session will cover key concepts and prepare you for the upcoming exams.","2024-08-07 08:05:00",90,6,116,E21474
AFM463,"Homework Help","This study session will help reinforce your understanding of the lectures.","2024-08-05 13:25:00",120,3,116,E54119
CLAS252,"Lab Review","Get help with your homework and assignments in this session.","2024-07-19 19:35:00",120,1,18,E32693
EMLS102R,"Course Overview","Get help with your homework and assignments in this session.","2024-06-15 13:20:00",30,8,86,MC2956
BIOL449,"Lecture Recap","Join us for a comprehensive review of the course material.","2024-07-22 07:30:00",30,6,133,E64491
MTHEL300,"Course Overview","Improve your problem-solving skills with this focused session.","2024-05-16 01:00:00",45,10,187,DC3244
PHYS260B,"Lecture Recap","Improve your problem-solving skills with this focused session.","2024-07-06 18:00:00",15,10,75,CPH2568
AVIA475,"Exam Preparation","Join us for a comprehensive review of the course material.","2024-05-27 00:30:00",45,9,151,E22241
LS328,"Problem Solving Session","We'll work through lab exercises and discuss key points.","2024-07-22 12:20:00",60,4,199,E31405
MATH211,"Lab Review","We'll go over important topics and answer any questions you may have.","2024-05-11 15:25:00",120,5,23,BMH1522
ARTS390,"Group Study","Join us for a comprehensive review of the course material.","2024-06-07 15:05:00",120,1,89,BMH1287
ERS318,"Group Study","Get help with your homework and assignments in this session.","2024-06-26 11:55:00",90,5,156,OPT2716
GEOG418,"Group Study","This study session will help reinforce your understanding of the lectures.","2024-08-12 01:50:00",120,7,81,E34395
SDS431R,"Lecture Recap","Join us for a comprehensive review of the course material.","2024-07-04 04:45:00",30,3,128,BMH2581
ARCH260,"Lab Review","Prepare for the midterm/final with this detailed review session.","2024-06-07 22:30:00",15,6,127,PAS3727
OPTOM158,"Problem Solving Session","We'll work through lab exercises and discuss key points.","2024-06-08 02:40:00",45,7,89,DC1028
CHE499,"Group Study","Prepare for the midterm/final with this detailed review session.","2024-07-13 01:35:00",15,3,153,E64360
FR192A,"Lab Review","Improve your problem-solving skills with this focused session.","2024-05-07 08:30:00",15,1,163,CPH1066
CIVE583,"Lab Review","This session will cover key concepts and prepare you for the upcoming exams.","2024-06-06 13:15:00",120,7,44,BMH1192
PHYS363,"Midterm Review","Prepare for the midterm/final with this detailed review session.","2024-06-24 11:15:00",120,3,180,EV12164
HUMSC301,"Review Session","Get help with your homework and assignments in this session.","2024-06-18 11:40:00",90,7,70,E33660
HIST258,"Lecture Recap","This study session will help reinforce your understanding of the lectures.","2024-05-16 06:00:00",15,10,144,PAS2869
CS234,"Review Session","Join your peers for a group study session.","2024-08-14 19:50:00",45,4,95,CPH2014
ENGL460C,"Review Session","We'll go over important topics and answer any questions you may have.","2024-07-19 11:55:00",60,2,140,RCH1650
SOC342,"Lecture Recap","This study session will help reinforce your understanding of the lectures.","2024-05-01 05:40:00",120,5,156,E32273
PACS326,"Problem Solving Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-06-18 01:50:00",30,6,40,AL3274
AFM272,"Group Study","This study session will help reinforce your understanding of the lectures.","2024-06-17 15:20:00",45,9,88,EV14449
EMLS101R,"Lab Review","Get help with your homework and assignments in this session.","2024-08-03 08:20:00",15,6,193,E11897
KIN455,"Course Overview","Join us for a comprehensive review of the course material.","2024-07-11 17:50:00",15,8,154,QNC3042
CS100,"Review Session","We'll work through lab exercises and discuss key points.","2024-05-18 13:15:00",45,5,107,MC2248
SPAN300,"Problem Solving Session","Prepare for the midterm/final with this detailed review session.","2024-08-12 21:40:00",45,9,143,E52504
ENGL222,"Homework Help","We'll work through lab exercises and discuss key points.","2024-07-17 14:00:00",120,6,6,QNC2917
PD13,"Homework Help","Prepare for the midterm/final with this detailed review session.","2024-07-06 07:00:00",60,4,108,E63370
HIST213,"Midterm Review","Get help with your homework and assignments in this session.","2024-05-26 04:40:00",15,7,75,RCH4238
SOC229,"Lecture Recap","This study session will help reinforce your understanding of the lectures.","2024-08-08 19:50:00",90,2,26,BMH1596
INDENT210,"Group Study","This session will cover key concepts and prepare you for the upcoming exams.","2024-08-01 17:55:00",45,8,119,EIT4116
FINE228,"Homework Help","Get help with your homework and assignments in this session.","2024-07-04 23:10:00",30,10,151,ML3985
RS230,"Homework Help","This session will help you stay on top of the course content.","2024-05-13 11:10:00",60,6,80,RCH2634
OPTOM348A,"Review Session","We'll go over important topics and answer any questions you may have.","2024-08-01 22:20:00",90,9,200,E24031
PSYCH315,"Lecture Recap","Improve your problem-solving skills with this focused session.","2024-05-11 05:35:00",60,4,42,RCH1396
SYDE554,"Exam Preparation","We'll go over important topics and answer any questions you may have.","2024-05-12 15:35:00",15,4,59,E62526
PHIL290,"Homework Help","Get help with your homework and assignments in this session.","2024-05-05 06:00:00",120,9,59,HH4375
AVIA101,"Exam Preparation","This session will help you stay on top of the course content.","2024-06-03 20:10:00",45,3,189,DC1251
PLAN102,"Lab Review","Join your peers for a group study session.","2024-08-07 02:35:00",120,8,106,AL4067
THPERF368,"Review Session","Join us for a comprehensive review of the course material.","2024-05-03 18:10:00",60,10,163,E73667
ENVE225,"Review Session","We'll go over important topics and answer any questions you may have.","2024-06-08 17:30:00",30,10,66,E52769
KIN305,"Lecture Recap","This study session will help reinforce your understanding of the lectures.","2024-06-24 14:05:00",45,2,127,AL2189
ENGL132R,"Lecture Recap","Join your peers for a group study session.","2024-06-18 18:45:00",120,7,15,CPH2157
SOC248,"Review Session","Prepare for the midterm/final with this detailed review session.","2024-05-16 18:30:00",45,1,100,MC2356
ERS315,"Lab Review","Get help with your homework and assignments in this session.","2024-05-28 09:30:00",30,9,160,EV34127
OPTOM246,"Group Study","Improve your problem-solving skills with this focused session.","2024-08-16 14:20:00",15,9,191,MC4257
BME552,"Problem Solving Session","Get help with your homework and assignments in this session.","2024-06-16 02:25:00",120,7,77,E11092
CS245E,"Exam Preparation","This study session will help reinforce your understanding of the lectures.","2024-07-28 12:50:00",30,7,80,DC3131
AFM100,"Midterm Review","We'll work through lab exercises and discuss key points.","2024-06-08 02:40:00",45,3,10,CPH3886
PHYS467,"Course Overview","Prepare for the midterm/final with this detailed review session.","2024-05-16 13:50:00",30,4,58,QNC4081
CO255,"Problem Solving Session","This session will help you stay on top of the course content.","2024-06-28 05:35:00",90,7,23,EV34407
CS487,"Lab Review","Get help with your homework and assignments in this session.","2024-06-07 22:00:00",15,4,164,EV12866
THPERF316,"Problem Solving Session","We'll go over important topics and answer any questions you may have.","2024-06-04 21:00:00",45,10,56,OPT2230
HLTH220,"Problem Solving Session","We'll go over important topics and answer any questions you may have.","2024-06-13 13:30:00",15,6,159,STC1103
PSCI452,"Group Study","Prepare for the midterm/final with this detailed review session.","2024-07-28 04:25:00",30,4,75,DC2223
HIST304,"Midterm Review","Join us for a comprehensive review of the course material.","2024-07-12 11:40:00",120,5,39,HH1732
HUMSC489,"Homework Help","Get help with your homework and assignments in this session.","2024-06-16 17:10:00",45,10,34,E64340
BUS481W,"Problem Solving Session","Join us for a comprehensive review of the course material.","2024-07-23 06:45:00",45,5,108,DC1915
ME452,"Group Study","This study session will help reinforce your understanding of the lectures.","2024-08-15 19:55:00",15,1,5,OPT4171
RS358,"Group Study","Prepare for the midterm/final with this detailed review session.","2024-05-01 23:20:00",30,2,86,EV12325
SOC404,"Final Exam Study Session","This session will help you stay on top of the course content.","2024-05-22 20:10:00",15,4,152,MC2667
ENGL430B,"Final Exam Study Session","Improve your problem-solving skills with this focused session.","2024-07-27 09:05:00",30,4,5,E74075
CHEM240,"Lab Review","We'll work through lab exercises and discuss key points.","2024-06-22 16:30:00",90,3,151,QNC4182
RS210,"Course Overview","Prepare for the midterm/final with this detailed review session.","2024-08-12 05:10:00",15,6,69,RCH2209
CO331,"Course Overview","This session will cover key concepts and prepare you for the upcoming exams.","2024-06-03 02:40:00",30,10,120,ML3591
RS325,"Exam Preparation","We'll work through lab exercises and discuss key points.","2024-08-15 21:00:00",60,9,78,AL3138
CLAS390,"Course Overview","Join us for a comprehensive review of the course material.","2024-07-18 03:25:00",120,10,105,DC1501
ENGL318,"Group Study","Join your peers for a group study session.","2024-06-07 07:15:00",30,2,134,CPH2435
PHIL331,"Final Exam Study Session","Join your peers for a group study session.","2024-07-08 11:05:00",45,9,10,QNC3425
GER261,"Midterm Review","This session will help you stay on top of the course content.","2024-08-14 17:25:00",45,2,91,E12056
AMATH445,"Group Study","We'll work through lab exercises and discuss key points.","2024-07-21 19:05:00",60,7,69,E12706
ENGL262,"Group Study","We'll go over important topics and answer any questions you may have.","2024-08-04 03:35:00",120,1,158,RCH2435
PHARM491,"Review Session","We'll work through lab exercises and discuss key points.","2024-07-28 23:15:00",60,2,19,RCH4026
SPAN390,"Lecture Recap","We'll work through lab exercises and discuss key points.","2024-07-01 23:20:00",120,5,135,OPT3867
AFM132,"Problem Solving Session","This session will help you stay on top of the course content.","2024-06-26 23:15:00",45,3,81,E24175
PSCI452,"Exam Preparation","This study session will help reinforce your understanding of the lectures.","2024-05-14 19:05:00",60,6,181,QNC1610
BIOL431,"Final Exam Study Session","Prepare for the midterm/final with this detailed review session.","2024-05-19 04:50:00",90,6,144,E22777
MATH239,"Midterm Review","We'll work through lab exercises and discuss key points.","2024-05-14 08:50:00",45,1,123,E21688
GER303,"Group Study","This session will cover key concepts and prepare you for the upcoming exams.","2024-07-31 22:10:00",30,4,144,BMH2305
NE343,"Final Exam Study Session","This study session will help reinforce your understanding of the lectures.","2024-05-19 20:25:00",90,3,1,QNC1843
CHEM267,"Course Overview","We'll go over important topics and answer any questions you may have.","2024-06-19 11:45:00",15,4,189,AL3056
LS240,"Exam Preparation","We'll work through lab exercises and discuss key points.","2024-06-07 16:55:00",45,4,126,E32387
ARABIC201R,"Midterm Review","We'll go over important topics and answer any questions you may have.","2024-06-25 22:25:00",30,6,179,CPH1007
MSE452,"Final Exam Study Session","Join us for a comprehensive review of the course material.","2024-07-24 03:45:00",15,6,122,EV14401
HLTH475,"Midterm Review","Join us for a comprehensive review of the course material.","2024-06-01 21:20:00",90,10,4,QNC2471
CHE161,"Problem Solving Session","We'll go over important topics and answer any questions you may have.","2024-07-22 10:45:00",120,4,8,CPH3254
SYDE182,"Homework Help","Get help with your homework and assignments in this session.","2024-07-02 00:45:00",15,7,192,E52358
SDS355R,"Lab Review","This session will cover key concepts and prepare you for the upcoming exams.","2024-06-02 22:30:00",60,2,7,E33817
STAT441,"Homework Help","Improve your problem-solving skills with this focused session.","2024-08-03 15:35:00",60,10,15,EV22893
ENGL495A,"Course Overview","This session will cover key concepts and prepare you for the upcoming exams.","2024-05-08 15:50:00",30,6,176,EIT3244
ECE459,"Review Session","Join us for a comprehensive review of the course material.","2024-06-21 06:10:00",15,3,3,EV14423
BLKST203,"Group Study","This study session will help reinforce your understanding of the lectures.","2024-05-08 10:50:00",45,1,92,EIT4297
RS420R,"Problem Solving Session","This study session will help reinforce your understanding of the lectures.","2024-07-29 06:00:00",60,3,196,QNC1580
RS123,"Group Study","Get help with your homework and assignments in this session.","2024-06-01 06:55:00",30,5,163,RCH3869
BIOL361,"Final Exam Study Session","We'll work through lab exercises and discuss key points.","2024-05-02 14:45:00",15,5,44,HH3880
ARCH484,"Homework Help","Join your peers for a group study session.","2024-07-02 03:40:00",30,10,200,E12181
MSE200A,"Final Exam Study Session","Get help with your homework and assignments in this session.","2024-05-09 20:00:00",60,1,25,RCH4022
HIST315,"Midterm Review","This session will cover key concepts and prepare you for the upcoming exams.","2024-07-15 16:15:00",45,4,127,EIT1858
SOC398R,"Lecture Recap","We'll work through lab exercises and discuss key points.","2024-05-26 10:10:00",120,10,155,QNC2784
CI329,"Problem Solving Session","Join your peers for a group study session.","2024-08-13 09:40:00",60,5,79,EV21936
GENE404,"Homework Help","Improve your problem-solving skills with this focused session.","2024-08-13 10:20:00",120,6,193,QNC1003
FINE252,"Exam Preparation","This session will cover key concepts and prepare you for the upcoming exams.","2024-07-04 09:05:00",90,6,38,E21723
LS435,"Review Session","We'll work through lab exercises and discuss key points.","2024-06-21 02:25:00",45,3,111,SLC2558
HIST257,"Final Exam Study Session","This study session will help reinforce your understanding of the lectures.","2024-06-25 21:50:00",120,6,170,E72760
SYDE292,"Problem Solving Session","We'll work through lab exercises and discuss key points.","2024-05-04 00:20:00",30,10,73,EIT1144
LS291,"Group Study","Improve your problem-solving skills with this focused session.","2024-06-11 01:25:00",30,6,180,E73156
PHIL283,"Problem Solving Session","We'll go over important topics and answer any questions you may have.","2024-06-04 23:00:00",15,7,196,RCH3139
HRTS301,"Group Study","We'll work through lab exercises and discuss key points.","2024-08-05 01:10:00",90,7,188,EV32265
ERS446,"Final Exam Study Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-05-22 10:50:00",90,2,125,E62544
HIST305,"Midterm Review","Improve your problem-solving skills with this focused session.","2024-07-25 20:05:00",60,6,34,CPH2272
THPERF499A,"Course Overview","Join us for a comprehensive review of the course material.","2024-07-11 22:15:00",90,10,170,AL3091
CHEM331,"Lab Review","Improve your problem-solving skills with this focused session.","2024-06-20 00:10:00",15,5,29,PAS1705
PACS399,"Lab Review","Improve your problem-solving skills with this focused session.","2024-05-18 06:20:00",15,6,126,DC2413
PHARM364,"Homework Help","This session will cover key concepts and prepare you for the upcoming exams.","2024-05-11 19:10:00",15,8,44,E31836
ENGL309G,"Review Session","This study session will help reinforce your understanding of the lectures.","2024-08-02 16:45:00",15,8,44,E63375
ECON381,"Final Exam Study Session","This study session will help reinforce your understanding of the lectures.","2024-07-31 22:10:00",15,5,81,SLC2253
PHIL286J,"Review Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-08-14 10:50:00",120,4,129,E34367
RS101,"Exam Preparation","This study session will help reinforce your understanding of the lectures.","2024-08-01 00:50:00",15,2,150,OPT2049
CHE161,"Lecture Recap","Prepare for the midterm/final with this detailed review session.","2024-06-21 18:10:00",30,10,150,OPT3338
EARTH390,"Lecture Recap","This session will cover key concepts and prepare you for the upcoming exams.","2024-06-30 18:40:00",120,1,42,CPH3774
ERS456,"Group Study","This session will help you stay on top of the course content.","2024-07-30 15:00:00",30,9,91,AL3424
PHIL246,"Lecture Recap","This study session will help reinforce your understanding of the lectures.","2024-06-04 17:40:00",90,7,106,EV34148
AFM231,"Problem Solving Session","We'll work through lab exercises and discuss key points.","2024-05-11 06:40:00",15,4,140,EV13359
ENGL494,"Homework Help","Get help with your homework and assignments in this session.","2024-07-30 11:20:00",90,6,151,E61672
CIVE505,"Homework Help","Improve your problem-solving skills with this focused session.","2024-05-15 17:55:00",15,10,104,E13670
ECE463,"Lab Review","This session will help you stay on top of the course content.","2024-08-07 08:55:00",30,3,165,OPT2160
ARTS122,"Final Exam Study Session","This session will help you stay on top of the course content.","2024-08-14 14:40:00",30,3,66,STC3158
MSE401,"Problem Solving Session","This study session will help reinforce your understanding of the lectures.","2024-07-07 22:40:00",45,5,170,CPH1617
PSCI485,"Group Study","Join us for a comprehensive review of the course material.","2024-06-04 06:15:00",15,4,110,E33264
FR255,"Final Exam Study Session","We'll go over important topics and answer any questions you may have.","2024-05-08 21:50:00",120,7,47,CPH1001
AE121,"Review Session","Join your peers for a group study session.","2024-06-24 14:15:00",15,10,74,ML1557
REC251,"Exam Preparation","Join us for a comprehensive review of the course material.","2024-06-04 12:35:00",120,3,143,EIT2613
HIST421,"Homework Help","Improve your problem-solving skills with this focused session.","2024-07-05 18:15:00",90,8,157,EV32502
BME530,"Group Study","We'll work through lab exercises and discuss key points.","2024-07-17 10:40:00",60,10,169,AL3110
MSE442,"Review Session","This session will cover key concepts and prepare you for the upcoming exams.","2024-07-24 01:05:00",15,8,15,EV33170
SYDE114,"Problem Solving Session","Join your peers for a group study session.","2024-08-15 11:20:00",120,4,195,EV13044
SDS421R,"Final Exam Study Session","Get help with your homework and assignments in this session.","2024-06-08 04:15:00",30,1,112,E31631
PHYS232L,"Course Overview","We'll go over important topics and answer any questions you may have.","2024-06-08 03:00:00",45,7,17,E72953
CHEM481,"Homework Help","Join us for a comprehensive review of the course material.","2024-05-20 04:30:00",90,4,50,E33070
GSJ203,"Exam Preparation","Join your peers for a group study session.","2024-07-16 14:30:00",45,7,93,SLC4348
KIN427,"Exam Preparation","We'll work through lab exercises and discuss key points.","2024-05-18 03:15:00",15,10,154,SLC1944
JAPAN301R,"Lecture Recap","This session will help you stay on top of the course content.","2024-07-01 17:05:00",30,2,90,RCH1146
ECON474,"Homework Help","Improve your problem-solving skills with this focused session.","2024-08-16 09:30:00",45,8,67,SLC2451
SE302,"Course Overview","We'll go over important topics and answer any questions you may have.","2024-05-27 01:30:00",60,3,98,EIT177
